id,title,platform,link,changed,old_used_ingredients,new_used_ingredients,added_ingredients,removed_ingredients,llm_raw_ingredients,unmapped_ingredients,error,content_preview
1285,비빔수제비라고 아시나요?,youtube(인플루언서),https://www.youtube.com/watch?v=coagMFr_nV8,Y,"간장,고추,고추장,고춧가루,김가루,다진마늘,마늘,배추,상추,설탕,식초,양배추,오이,조미김,참기름,참깨,후추","간장,고추장,다진마늘,설탕,식초,양배추,오이,참기름,참깨,후추",,"고추,고춧가루,김가루,마늘,배추,상추,조미김","생수제비, 양배추, 오이, 꽃상추, 참기름, 조미김가루, 통깨, 고추장, 양조식초, 황설탕, 진간장, 간마늘, 고운고춧가루, 후춧가루","생수제비, 꽃상추, 조미김가루, 고운고춧가루",,"[비빔수제비] 1인분기준


[재료]
생수제비 250g
양배추 1컵 (60g)
오이 1/2컵 (50g)
꽃상추 2장 (20g)
참기름 1큰술 (7g)
조미김가루 1/2컵 (6g)
통깨 1큰술 (5g)

[양념장]
고추장 1과 1/2큰술 (30g)
양조식초 2큰술 (20g)
황설탕 1과 1/2큰술 (18g) 
진간장 약 1과 2/3큰술 (17g)
간마늘 1/2큰술 (10g)
고운고춧가루 1큰술 (6g)
후춧가루 약간


1. 냄비에 물 약 1L를 넣고 끓인다.
2. 볼에 고추장, 고운고춧가루, 황설탕, 진간장, 양조식초, 간마늘, 후춧가루를 넣고 섞어 양념장을 만든다.
 * 기호에 맞게 설탕과 식초를 더 추가해도 좋다
3. 냄비의 물이 끓으면 생수제비를 넣고 약 8분간 끓인다.
 * 냄비 바닥에 수제비가 눌어붙지 않게 가끔씩 저어준다
4. 양배추와 오이는 길이 약 6cm, 두께 0.3cm로 채 썰어 준비한다.
 * 오이 대신 당근을 넣어도 좋다
5. 상추는 길게 반 자른 후 두께 1c"
1288,달걀로 만두를 어떻게 만들지??,youtube(인플루언서),https://www.youtube.com/watch?v=5-a5CPASYBc,Y,"간장,고추,달걀,당근,당면,만두,설탕,청양고추,파","간장,달걀,당근,당면,설탕,소금,식용유,참기름,청양고추,파,후추","소금,식용유,참기름,후추","고추,만두","달걀, 당면, 대파, 당근, 청양고추, 진간장, 황설탕, 꽃소금, 참기름, 후춧가루, 식용유",,,"팀원 여러분들 설이 코앞으로 다가왔습니다

떡국은 그동안 많이 보셨을 것 같아서
이번에 '달걀만두'를 준비해 봤는데요!

이거 진짜 간단한데 맛있으니까 한 번 따라 해보세요!



[달걀만두] 2인분 기준


[재료]
달걀 3개
당면 40g
대파 약 1/3대 (30g)
당근 약 1/10개 (25g)
청양고추 1개 (10g)
진간장 1/2큰술 (5g)
황설탕 1/3큰술 (4g)
꽃소금 1/4큰술 (3g)
참기름 약 1/2큰술 (4g)
후춧가루 약간
식용유 적당히


1. 당면은 냄비에 담고 당면이 충분히 잠길 정도의 물을 넣는다.
2. 강불로 켜고 8분간 삶는다.
 * 불린 당면을 사용할 경우 끓는 물에 넣고 약 2분간 삶는다
3. 청양고추는 꼭지를 제거한 후 길게 4등분으로 갈라 다지듯이 잘게 썬다.
4. 당근은 다지듯이 잘게 썬다.
5. 대파는 길게 반 갈라 다지듯이 잘게 썬다.
6. 큰 볼에 썰어둔 채소와 달걀을 넣고 잘 풀어준다.
7. 달걀 반죽에 꽃소금, 참기름, 후춧가루를 "
1294,이건 짚고 넘어가야겠어요,youtube(인플루언서),https://www.youtube.com/watch?v=Tr2KL-Xl85k,N,,,,,,,,"#백종원 #축지법 #2024 

2024년은 전국 방방곡곡 축제를 다니며 정말 바쁘게 보낸 한 해였습니다. 그런데 얼마 전 접한 기사 내용이 사실과 많이 달라 
그냥 지나칠 수 없겠더라고요.

왜곡된 기사가 더 큰 오해를 낳지 않도록, 
올바른 정보를 직접 전해드리고자 이 영상을 준비했습니다.  
더불어 제가 생각하는 지역 축제의 가치, 목표, 그리고 내년 계획까지 말씀드릴게요!

내년에도 팀원분들과 더 활발히 소통하기 위해 노력하겠습니다. 
따뜻한 관심과 응원 부탁드립니다!

_
00:00 인트로
00:25 올 한해도 감사했습니다!
01:53 근데 최근에...
07:28 그래도 열심히 다음 단계로!
07:53 감사한 우리 팀원분들~"
1295,"11만 도시에 30만 명의 방문, 통영 어부장터 리뷰",youtube(인플루언서),https://www.youtube.com/watch?v=QbJNAiZZhXw,N,,,,,,,,"#백종원 #축지법 #통영

지난 11월, 통영에서 열린 첫 해산물 축제 '통영 어부장터'
축제 3일 동안 무려 30만 명이 넘는 방문객들이 찾아와주셨는데요.  
통영 인구가 약 11만 명임을 감안하면 정말 놀라운 숫자죠~!! 

갑자기 찾아온 가을 태풍이라는 변수에 부족한 점도 많았지만 
이번 어부장터를 통해 다시 한번 
축제를 통한 지역 활성화의 가능성을 확인할 수 있었습니다.  

이게 다 관심 보여주신 팀원분들 덕분입니다.  
정말 감사합니다! 

다음엔 더 나아진 모습으로 
여러분을 맞이할 수 있도록 더 철저히 준비하겠습니다~ 



00:00 통영 어부장터 인트로🐟
00:53 하필 축제 때 비가 오다니…☔
02:48 통영 굴로 만든 홍콩반점 굴짬뽕!
04:54 통영 어부장터 1일차
08:07 통영 어부장터 2일차
14:45 ✨축제로 지역을 살리는 방법✨"
1300,수육에 같이 먹는 보쌈무김치 만드는 법 의외로 간단합니다,youtube(인플루언서),https://www.youtube.com/watch?v=KbWtIU129hw,Y,"고추,김치,다진마늘,마늘,무,설탕,소금,쌈무","깻잎,다진마늘,무,설탕,소금,알배추,참깨","깻잎,알배추,참깨","고추,김치,마늘,쌈무","무, 정수물, 황설탕, 고운고추가루, 간마늘, 꽃소금, 알배추, 수육, 깻잎, 통깨","정수물, 고운고추가루, 수육",,"요즘 많이 쌀쌀하죠?

이맘때쯤이면 김장들 많이 하시는데
그러다 보면 또 수육을 먹게 되잖아요(?)
수육을 먹게 되면 빠질 수 없는 게 보쌈무김치잖아요

그래서 오늘은 집에서도 만들 수 있는 보쌈무김치!
생각보다 간단합니다. 다들 따라 해 보세요


[ 보쌈 무김치 ] 약 2인분 기준

[ 재료 ]

*보쌈 무김치
무 1/4개(500g)
정수물 1/2컵(90ml)
황설탕 약4와1/2큰술(55g)
고운고추가루 1/2컵(50g)
간마늘 1과1/2큰술(30g)
꽃소금 약2큰술(25g)

*배추 절이기
정수물 2컵(360ml)
알배추 1/2통(약300g)
꽃소금 2큰술(24g)

[ 만드는 법 ]

*보쌈 무김치
1. 무는 깨끗하게 세척한 후 길이 7cm, 두께 0.8cm로 길게 썰어 깊은 그릇에 담아 준비한다.
  * 무를 너무 두껍게 썰 경우 절이는데 시간이 오래 걸릴 수 있으니 주의한다.
2. 준비해둔 무에 꽃소금, 정수물을 넣고 잘 섞어 약 3시간 절인다
  * 양이 많을 경우 중간"
1304,비교 불가! 압도적인 축제를 열 거예요,youtube(인플루언서),https://www.youtube.com/watch?v=nCH30WGFQt4,Y,"굴,멍게,멸치,브리,우럭,장어",,,"굴,멍게,멸치,브리,우럭,장어",,,,"#백종원 #축지법 #통영 

제가 고기만 좋아하는 줄 아셨다면..
오해이십니다..
제가 고기만큼 좋아하는 게 또 해산물이거든요!

그래서 이번에 첫 해산물 축제를 준비해 봤습니다~
어디에서? 바로, 한국의 나폴리~ 통영에서요!

굴, 우럭, 바닷장어, 멸치, 멍게 등 
통영의 신선한 해산물을 모아서
여태껏 경험하지 못한 특별한 축제 먹거리를 준비했습니다.
통영 어부장터 오셔서 통영의 해산물을 
맘껏~ 씹고 뜯고 맛보고 즐겨주세요!
------------------------------
[2024 통영 어부장터 축제]
📍일시: 2024.11.1.(금)~11.3(일) 3일간
📍장소: 통영 트라이애슬론광장 일대

( *일부 축제 메뉴 가격은 조정될 수 있습니다 )
_
00:00 인트로
00:49 어부장터 와보실래요?
02:32 흑백요리사 백수저 파브리가 여기서?
06:07 우리는 해산물 개발중
11:59 파브리가 경험해볼게요! (안대를...)
14:14 축제에서 즐겨보세요!"
1311,흑백요리사 얘기할 건데 퍼트리면 안 된다,youtube(인플루언서),https://www.youtube.com/watch?v=utIbM9Iua-k,N,,,,,,,,"여러분! 흑백요리사 다 보셨어유?
보신 분들은 아시겠지만 정말 많은 일이 있었쥬
일단 앉아봐유 나 할 말 진짜 많다😊

#백종원 #안성재 #흑백요리사"
1319,5분 안에 만드는 초간단 비빔밥 만들기! (Feat. 전자레인지),youtube(인플루언서),https://www.youtube.com/watch?v=Jq2SwKMw8vI,Y,"간장,고추,고추장,김가루,달걀,당근,무,버섯,식용유,애호박,참기름,참깨,콩나물,표고버섯,호박","간장,고추장,김가루,달걀,당근,무,식용유,애호박,참기름,참깨,콩나물,표고버섯",,"고추,버섯,호박","밥, 애호박, 콩나물, 무, 당근, 표고 버섯, 고추장, 국간장, 참기름, 통깨, 김가루, 계란, 식용유",밥,,"전자레인지 다들 집에 있으시죠?

전자레인지에 넣고 5분이면 끝나는 비빔밥을 가져왔어요.

자꾸 이렇게 해 먹으면 비빔밥집 사장님들은 좀 그럴 수도 있지만

그래도 바쁠 때 이런 거 써먹으면 좋잖아요?

집에서 갑자기 비빔밥이 땡길 때 한 번씩 따라 해보세요!


[전자레인지 비빔밥] 1인분 양 

[재료]
밥 1공기 (200g)
애호박 약간 (40g)
콩나물 약 1/2컵 (40g)
무 약간 (30g)
당근 약간 (14g) 
표고 버섯 1개 (12g) 
고추장 1큰술 (20g)
국간장 1큰술 (10g)
참기름 1큰술 (7g)
통깨 약간 (3g)
김가루 약간 
계란 1개 
식용유 적당량
 
[만드는 법]
1. 표고버섯은 기둥을 제거하고 두께 약 0.2cm 정도 얇게 채썬다.
Tip. 말린 표고 버섯 사용 시 물에 불린 뒤 기둥을 제거하여 사용한다. 
2. 무와 당근도 두께 약 0.2cm 정도 얇게 채썬다.
 Tip. 무와 당근은 잘 익지 않으므로 최대한 얇게 썰어주면 좋다. 
 Tip"
1324,[내꺼내먹] 연돈볼카츠 점주 미팅 / 신메뉴 개발 / 프로모션 진행,youtube(인플루언서),https://www.youtube.com/watch?v=uHbJCJjXJ0U,N,,,,,,,,"#백종원 #내꺼내먹 #연돈볼카츠 

최근 연돈볼카츠 이야기를 많이 접하셨을 텐데요. 
그래서 이번에 연돈볼카츠 얘기를 해보려고 합니다. 
 
연돈볼카츠를 처음 어떻게 시작하게 됐는지, 
연돈볼카츠에서 그동안 어떤 노력들을 해왔는지, 
그리고 수제 도시락 메뉴가 나오기까지
어떤 과정들이 있었는지 말입니다. 

모두의 마음에 100% 만족스럽진 않겠지만 
저희는 함께 해주시는 점주님들과의 상생을 위해  
항상 고민하고, 노력하고 있다는 점..  
기억해주셨으면 감사하겠습니다. 
앞으로도 더 노력하겠습니다.


※ 내꺼내먹X연돈볼카츠 이벤트 ※ 
- 기간 : 2024년 7월 30일(화) ~ 8월 3일(토)
- 내용 : 뚜껑열린치킨 도시락 3000원 할인

*배달 주문은 적용 제외 
*단체 주문 불가 (1인 5개 한정)
*일부 지점은 판매가가 상이할 수 있습니다.
(문래점, 당곡역점, 천안두정점)
*사정에 따라 '뚜열치' 판매가 힘들어 이벤트 참여를 못하는 매장 
(부산해운대장산점, 분당서"
1326,닭가슴살과 라면만 가지고 초계국수 맛 나는 초계라면 완성입니다,youtube(인플루언서),https://www.youtube.com/watch?v=EhTxL1sWnMI,Y,"가지,닭가슴살,라면,면,설탕,식초,진라면","닭가슴살,설탕,식초,얼음,오이,와사비,참깨,청양고추","얼음,오이,와사비,참깨,청양고추","가지,라면,면,진라면","진라면 순한맛, 정수물, 조미닭가슴살, 양조식초, 황설탕, 오이, 연겨자, 청양고추, 얼음, 통깨, 후레이크","진라면 순한맛, 정수물, 후레이크",,"집에 닭가슴살 많이들 있으시죠?

저는 운동한다고 닭가슴살 집에 많이 사뒀는데 그대로 냉동실에 보관 중이거든요 ㅎㅎ

마침, 요즘 여름이라 더운데 시원한 국물류 면 요리가 땡기잖아요

그래서 이번에 제가 집에 있는 라면이랑 닭가슴살만 가지고
'초계라면'을 만들어 봤어요

이거 진짜 간단한데 초계국수 못지않게 맛있으니까, 집에서 따라 해보세요


[ 초계라면 ]

[ 재료 ]
진라면 순한맛 1개
정수물 1컵(180ml)
조미닭가슴살 1/2개(50g)
양조식초 3큰술(24g)
황설탕 1과1/3큰술(16g)
오이 약간(15g)
연겨자 1큰술(6g)
청양고추 약1/3개(3g)
얼음 적당량
통깨 약간

[ 만드는 법 ]
1. 깊은 그릇에 라면 분말스프, 양조식초, 황설탕, 연겨자를 넣어 덩어리가 풀어지고 설탕이 녹을 때 까지 섞은 후 정수물 1컵을 섞어 육수를 만든다.
  * 설탕은 취향에 맞게 1큰술~1과1/2큰술 사이로 조절한다.
2. 닭가슴살 반개를 결대로 찢어 준비한다.
  * 닭가슴"
